title,category,content
Everything2,Science,"Everything2 or E2 is a website. It lets people make pages about many different things, and some people use it as a diary. E2 users create pages called ""nodes"" and add stuff in ""writeups"". Only logged-"
Editor,Science,"An Editor is a person who makes changes to documents. More specifically the word ""editor"" can mean: Ecological yield Ecological yield is the harvestable growth of an ecosystem. It is most commonly mea"
Execution,History,"Execution is where state authorities kill someone for having committed an extremely serious crime, usually treason or especially terrible murders. In most countries where the death penalty is still pr"
February,General Information,"February (Feb.) is the second month of the year in the Julian and Gregorian calendars, coming between January and March. It has 28 days in common years, and 29 days in leap years. This was to make the"
Food,Science,"Food is what people, plants and animals eat to live. Every organism needs energy to carry on with the process of living which comes from food. Food usually comes from animals and plants. It is eaten b"
Fine,History,"If someone is found guilty of a crime, their punishment may be to pay a fine, a certain amount of money. In many countries, fines can be ordered by police, court judges and some government officers. W"
Frying,General Information,Frying is cooking food in hot butter or vegetable oil or other fat. We can fry food in a small amount of fat in a pan or in a lot of oil in a pot. Some restaurants use deep frying to fry a large amoun
Fish,Science,"Fish (plural: fish or fishes) are a group of animals which live in water and respire (get oxygen) from their gills. As a group, they are much older than other vertebrates. The first fish developed abo"
France,History,"France ( or ; ), officially the French Republic (, ), is a country in Western Europe. It also includes various departments and territories of France overseas. Mainland France extends from the Mediterr"
Finland,History,"Finland (Finnish: ""Suomi"") is a country in Northern Europe and is a member state of the European Union. Finland is one of the Nordic countries and is also part of Fennoscandia. Finland is located betw"
Fruit,Science,"In botany, a fruit is a plant structure that contains the plant's seeds. To a botanist, the word ""fruit"" is used only if it comes from the part of the flower which was an ovary. It is an extra layer r"
Farm,Science,A farm is a piece of land used to grow crops and/or raise animals. People who grow these plants or raise these animals are called farmers. This work is called farming. Land that is used to grow plants
Geography,General Information,"Geography (from Greek: , ""geographia"", literally ""earth description"") is the study of earth and its people. Its features are things like continents, seas, rivers and mountains. Its inhabitants are all"
Grammar,General Information,"Grammar is the study of words, how they are used in sentences, and how they change in different situations. The Ancient Greeks used to call it ""grammatikē tékhnē"", the craft of letters. It can have an"
Glass,Science,"Glass is a hard material that can be made in many shapes. It is usually transparent, but it can also be made in colours. Glass is mainly made of silica; glass made of silica only is called silica glas"
God,Art,God is a being or spirit worshipped as a deity. God is considered to be the creator of the universe in some religions. Theists believe that God created everything that exists and has ever existed. Som
Ghost,Art,"In folklore, a ghostly materialization, also known as simply a ghostly material, ghost materialization, ghost material or ghost, is thought to be the essence of a dead person which tried to scare the "
Green,Art,Green is a color between the yellow and blue colors in the rainbow. Green is a primary color (a color that can be mixed with another color) of light. The others are red and blue. Green and blue are ne
Google,Science,Google LLC is an American multinational corporation from the United States. It is known for creating and running one of the largest search engines on the World Wide Web (WWW). Every day more than a bi
Gallon,History,"A gallon is a volumetric unit of measurement. People have used many different gallons throughout history. Only two gallons are still commonly used, which are the imperial and U.S. liquid gallon.This i"
Government,History,"A government is a group of people that have the power to rule in a territory, according to the administrative law. This territory may be a country, a state or province within a country, or a region. T"
Galaxy,Science,"A galaxy is a group of many stars, with gas, dust, and dark matter. The name 'galaxy' is taken from the Greek word ""galaxia"" meaning milky, a reference to our own galaxy, the Milky Way. Gravity holds "
Geometry,General Information,"Geometry (from Ancient Greek: Γεωμετρία (romanized: ""Geometria"" (English: ""Land measurement"") derived from Γη (romanized: Ge; English: ""Earth"" or ""land"") and also derived from Μέτρον) (romanized: ""Mét"
Goatee,General Information,"A goatee is a beard formed by a tuft of hair under the chin, resembling that of a billy goat."
Herm,General Information,"Herm is the smallest of the Channel Islands that is open to the public. Herm is only 1 miles long. Cars are banned from the small island just like its Channel Island neighbour, Sark. Unlike Sark, bicy"
History,History,"History is the study of past events. People know what happened in the past by looking at things ""from"" the past including sources (like books, newspapers, scripts and letters), buildings and different"
Health,General Information,"Health is ""a state of complete physical, mental, and social well-being, and not merely the absence of disease"" according to the World Health Organization (WHO). ""Physical"" health is about the body. ""M"
Harbor,General Information,A harbor (American English) or harbour (British English) is a place where ships may shelter. Some harbours are used as ports to load and unload ships. The port will have quays or piers where the ships
Hawaii,History,"Hawaii (sometimes spelled ""Hawai'i"") is a U.S. state and the only U.S. State that is in Oceania. It is the last state that joined the United States, becoming a state on August 21, 1959. It is the only"
Honolulu,History,Honolulu is the capital city of the U.S. state of Hawaii. It is also the largest city in Hawaii and it has the most important harbor. It is on the south-east shore of the island of Oahu. Honolulu mean
Healing,General Information,"Healing is a process that happens in the body. Through healing, cells are able to repair damaged tissue. There are two different ways healing can happen: Most healing processes combine both ways of he"
Height,General Information,"Height is the distance between the lowest end and highest end of an object. For example, it is said the bottom of the foot is a person's lowest end, and the top of the head is a person's highest end. "
Historian,History,A historian is someone who studies history. Historians use written sources to understand past events and societies. Human body The human body is the body of a person. It is the physical structure of a
Hydrogen,Science,"Hydrogen is a chemical element at the start of the periodic table. It has the symbol H and atomic number 1. It also has a standard atomic weight of 1.008, which makes it the lightest element in the pe"
Helium,Science,"Helium is a chemical element. It has the chemical symbol He, atomic number 2, and atomic weight of about 4.002602. There are 9 isotopes of helium, only two of which are stable. These are He and He. He"
Hair,History,"Animal hair is usually called fur. Sheep and goats have curly hair, called wool. Wool is used to make many products, like clothing and blankets. Humans and some other animals have lost much of their h"
Ireland,History,Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic. It is about 486 kilometres (302 miles) long and about 288 kilometres (179 miles) wide. To the west of Ireland is the Atlantic Ocean; to
Internet,Science,"The Internet is the biggest world-wide communication network of computers. The Internet has a lot of smaller domestic, academic, business, and government networks, which together carry many different "
Italy,History,"Italy ( ]) is a country in Southern Europe. It is a member of the European Union. Its official name is the Italian Republic (). The Italian flag is green, white and red. Italy is a democratic republic"
If,General Information,"If is a word to describe a statement where one thing depends on something else. For example: If — is a poem written by Rudyard Kipling. It appeared in the ""Brother Square Toes"" chapter of Kipling's bo"
Island,General Information,"An island is a piece of land that is surrounded by a body of water such as a lake, river, sea or ocean. Islands are smaller than continents. Although there are many Islands that surround fresh water, "
Interim,History,"An interim is a period of temporary pause or change in a sequence of events, or a temporary state, and is often applied to transitional political entities. Interim may also refer to:"
Idiom,General Information,An idiom is a common phrase which means something different from its literal meaning but can be understood because of their popular use. Idioms are difficult for someone not good at speaking the langu
Ink,Science,"Ink is a liquid that is used to write, draw, print, or make marks. The word ink is from Latin and means ""colored water"". Ink is used in pens, in some computer printers, and in printing presses. In som"
Inch,Science,"The inch is a unit of length in the Imperial system and the United States customary system. The abbreviation for inches is in or "". There are 12 inches in a foot. One inch is equal to 2.54 centimetres"
Pint,Science,The pint (abbreviated pt) is a unit of volume in imperial units and United States customary units. There are three types of pints used in different countries. An imperial pint and US pint both equal o
Italian,History,The word Italian may mean:
Italians,History,"Italians ( ) are a Romance ethnic group native to the Italian peninsula. Italians have a common culture, history, ancestry and language. ISO 19011 ISO 19011 is the new global accounting standard, repl"
India,History,"India (Hindi: ), officially the Republic of India (Hindi: ), also known as Hindustān or Bhārat within the country, is a country in South Asia. It is the largest country by number of people and seventh"
States:,History,Union territories: There are disputes about certain parts of the Indian borders. Countries do not agree on where the borders are. Pakistan and China do not recognise the disputed territory of Jammu an
Insult,General Information,"An insult is a description of someone that will offend them. It may or may not be true. It is called ""derogatory"" language. Terms like foolish, stupid, idiot and moron are insults, because they say th"
Immunology,Science,Immunology is the study of the immune system. The immune system is the parts of the body which work against infection and parasitism by other living things. Immunology deals with the working of the im
Infinity,Science,"Infinity (formula_1) is about things that never end. It is written in a single digit. Infinity means many different things, depending on when it is used. The word is from Latin origin, meaning ""withou"
January,History,"January (Jan.) is the first month of the year in the Julian and Gregorian calendars, coming between December (of the previous year) and February (of the current year). It has 31 days. January begins o"
June,History,"June (Jun.) is the sixth month of the year in the Julian and Gregorian calendars, coming between May and July. It has 30 days. June is named for the Roman goddess Juno, the wife of Jupiter. June never"
July,History,"July (Jul.) is the seventh month of the year in the Gregorian calendar, coming between June and August. It has 31 days. July was named after Julius Caesar. The halfway point of the year is either on J"
Japan,History,"Japan (; romanised as ""nihon"" or ""nippon"") is a country in East Asia. It is a group of islands close to the east coast of Korea, China and Russia. The Pacific Ocean is to the east of Japan and the Sea"
Jargon,General Information,Jargon is a special way to use words that are shared only by a certain group of people. They may not mean what the dictionary says they mean. They have different meanings to the people using them than
Jupiter,Science,"Jupiter is the largest planet in the Solar System. It is the fifth planet from the Sun. Jupiter is a gas giant because it is so large, and made mostly of gas. The other gas giants in the Solar System "
King,History,"A king is usually a male monarch who rules a country or territory which is a monarchy. The person usually inherits the title and position. A king comes to power when the previous monarch dies, who is "
Knowledge,General Information,"Knowledge means the things which are true, as opposed to opinion. Information which is correct is knowledge. Knowledge can always be supported by evidence. If a statement is not supported by evidence,"
Kauai,History,"Kauai (Kaua'i in Hawaiian) is the second oldest (after Ni'ihau) and fourth largest of the main Hawaiian Islands, in the United States. Known also as the ""Garden Isle"", Kaua'i lies 73 miles (117 kilome"
Killing,History,"Killing a living thing is when someone or something ends that life and makes the living thing die. It means causing a death. When a human being kills another human being, it is called murder or homici"
Kilometre,Science,The kilometre is a common unit used for longer distances on Earth. The international unit for measuring distances is the metre and a kilometre is 1000 metres. It is used in most countries for measurin
Language,General Information,"Language is the normal way humans communicate. Only humans use language, though other animals communicate through other means. The study of language is called linguistics. Human language has syntax, a"
Leisure,General Information,"Leisure (or free time) is when a person can choose what to do. During a person's leisure time, they do not have an obligation to be at school or work at a job. During leisure time, people can do fun a"
Live,General Information,"Live can be a verb. It rhymes with ""give"". ""To live"" means ""to be alive"" (and it is not dead). If you live, then you have life. It can be used in a general way: Live can be an adjective. It rhymes wit"
Life,General Information,"Life is a concept in biology. It is about the characteristics, state, or mode that separates a living thing from dead matter. The word itself may refer to a living being or to the processes of which l"
Law,History,Law is a set of rules decided by a particular place or authority meant for the purpose of keeping the peace and security of society. Courts or police may enforce this system of rules and punish people
Lanai,History,"Lanai (or Lānaʻi) is sixth largest of the Hawaiian Islands, in the United States. It is also known as the ""Pineapple Island"". The island is almost a circle in shape and is 18 miles wide in the longest"
Leather,Science,"Leather is the skin of an animal made into a durable material by tanning. The skins of cows, pigs, and goats are often used to make leather. Skins of snakes, alligators or crocodiles, and ostriches ar"
License,Science,"A license (in American English) or licence (in British English) allows someone to do something that they otherwise are not allowed to do. A person usually has to pay some money, and maybe pass a test "
Link,General Information,"A link, also hyperlink in computing, is a part of a chain. A chain is made of many pieces of metal; each piece is a link. Today, people also use the word link in a new way. The World Wide Web on the I"
Library,General Information,A library is a place where many books are kept. Most libraries are public and let people take the books to use in their home. Most libraries let people borrow books for several weeks. Some belong to i
Like,General Information,"Like can mean some different things: 1. We can use to like to say that we find a thing is good: 2. We can use like for ""the same as"" or ""nearly the same as"": 3. We can also use like for ""the same way "
Legislature,History,"Legislature is a word that comes from the Latin language, meaning ""those who write the laws."" A legislature is therefore a group of people who vote for new laws, for example in a state or country. Eac"
London,History,"London is the capital of the United Kingdom (UK), and its largest city. It is also the city with the highest population in the UK. The population is just under 9 million. The city is the largest in we"
Litre,History,"A litre (international spelling) or liter (American spelling) is one of the metric units of volume. It is not a basic SI unit, but it is a supplementary unit. One litre is the volume of 1000 cubic cen"
Lime,Science,"Lime is a green fruit, and the tree fruit itself. They are citrus fruits similar to lemons. Citrus fruits like limes are rich in vitamin C. Sailors from Britain were given lemon or lime juice to stop "
Mathematics,Science,"Mathematics is the study of numbers, shapes, and patterns. The word comes from the Greek ""μάθημα"" (máthema), meaning ""science, knowledge, or learning"", and is sometimes shortened to math or maths. It "
March,History,"March (Mar.) is the third month of the year in the Gregorian calendar, coming between February and April. It has 31 days. March is named after Mars, the Roman god of war. March always begins on the sa"
May,History,"May is the fifth month of the year in the Julian and Gregorian calendars, coming between April and June. It has 31 days. The month of May might have been named for the Roman goddess Maia, or more like"
Music,General Information,"Music is a form of art that uses sound organised in time. Music is also a form of entertainment that puts sounds together in a way that people like, find interesting or dance to. Most music includes p"
Madrid,History,"Madrid (pronounced: “mah-drid or /məˈdrɪd/) is the capital and largest city of Spain. Madrid is in the middle of Spain, in the Community of Madrid. The Community is a large area that includes the city"
Montreal,History,"Montreal (, spelled ""Montréal"" in French) is a city in the country of Canada. It is the largest city in the province of Quebec and the second-largest city in Canada. It is the second-largest French-sp"
Maui,History,"Maui is the second largest of the Hawaiian Islands, in the United States. It has a population of just over 150,000 and is 727 square miles (1883 km²) in size. Maui is part of Maui County, Hawaii. The "
Molokai,History,Molokai (sometimes mistakenly called Molokaʻi) is the fifth largest island in the U.S. Hawaiian Islands. The island is 38 miles long and 10 miles across. Its land area is 261 square miles. The highest
Money,History,"Money, also sometimes called currency, can be defined as anything that people use to buy goods and services. Money is what many people receive for selling their own things or services. There are lots "
Multiplication,Science,"Multiplication is the inverse of division, and has many uses, one of them being checking your division work. Multiplication is an arithmetic operation for finding the ""product"" of two numbers in mathe"
Microsoft,History,"Microsoft Corporation is a company that makes computer software and video games. Bill Gates and Paul Allen started the company in 1975. Microsoft makes Microsoft Windows, Microsoft Office (including M"
Multiverse,Science,"A multiverse is the theory of a conjectured set of multiple possible universes, including ours, which make up reality. These universes are sometimes called parallel universes. A number of different ve"
Mustache,History,The hair that grows on the upper lip of some men is called a mustache. The hair that grows on the sides of the face and the chin of some men is called a beard. Some men have a lot of hair and a big mu
Mile,History,"A mile is a unit of length. There are many different kinds of mile but ""mile"" on its own usually means the statute mile. In the US and the UK the word ""mile"" usually means the statute mile. The nautic"
Margarine,History,"Margarine is an artificial butter. It can be made from vegetable oil, or animal fat. It may also contain skimmed milk, salt and emulsifiers. Margarine is used in many baked products. It contains less "
Movement,History,"Movement, or motion, is the state of changing something's position or changing where something is. A bird that is flying is moving. So is a person who is walking. This is, because they change where th"
Metaphor,Science,"Metaphor is a term for a figure of speech. It does not use a word in its basic literal sense. Instead, it uses a word in a kind of comparison. We run, and we also say rivers run. We may run into troub"
Metabolism,Science,"Metabolism is the chemical reactions which keep us alive. It happens in the cells of living organisms. The chemical reactions are catalyzed by enzymes. Metabolism allows organisms to grow, reproduce, "
Microscope,Science,A microscope is a scientific instrument. It makes small objects look larger. This lets people see the small things. People who use microscopes frequently in their jobs include doctors and scientists. 
Mass,Science,"The mass of an object is a measure of the amount of matter in a body. A mountain has typically more mass than a rock, for instance. Mass should not be confused with the related but quite different con"
Mars,Science,Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System. Mars is a terrestrial planet with caps of water and carbon dioxide. It has the largest volcano in the Solar S
April,Technology,"April (Apr.) is the fourth month of the year in the Julian and Gregorian calendars, and comes between March and May. It is one of four months to have 30 days. April always begins on the same day of th"
August,General Information,"August (Aug.) is the eighth month of the year in the Gregorian calendar, coming between July and September. It has 31 days. It is named after the Roman emperor Augustus Caesar. August does not begin o"
Art,Art,"Art is a creative activity. It produces a product, an object. Art is a diverse range of human activities in creating visual, performing subjects, and expressing the author's thoughts. The product of a"
A,History,"A or a is the first letter of the English alphabet. The small letter, a or α, is used as a lower case vowel. When it is spoken, ā is said as a long a, a diphthong of ĕ and y. A is similar to Alphabet "
Air,Science,Air is the Earth's atmosphere. Air is a mixture of many gases and tiny dust particles. It is the clear gas in which living things live and breathe. It has an indefinite shape and volume. It has mass a
Andouille,Literature,"Andouille is a type of pork sausage. It is spicy (hot in taste) and smoked. There are different kinds, all with different combinations of pork meat, fat, intestines (tubes going to the stomach), and t"
Farming,History,"Farming is growing crops and keeping animals for food and raw materials. Farming is a major part of agriculture. Farming started thousands of years ago, but no one knows for sure how old it is. The de"
Arithmetic,Science,"In mathematics, arithmetic is the basic study of numbers. The four basic arithmetic operations are addition, subtraction, multiplication, and division, although other operations such as exponentiation"
Addition,General Information,"Not to be confused with building extension which are also called ""additions"" In mathematics, addition, represented by the symbol formula_1, is an operation which combines two mathematical objects toge"
Australia,General Information,"Australia (officially called the Commonwealth of Australia) is a country and sovereign state located in the southern hemisphere, in Oceania. Its capital city is Canberra, and its largest city is Sydne"
Aquaculture,Science,"Aquaculture is the farming of fish, shrimp, abalones, algae, and other seafood. Aquaculture supplies fish, such as catfish, salmon, and trout. It was developed a few thousand years ago in China. Aquac"
Abbreviation,Art,An abbreviation is a shorter way to write a word or phrase. People use abbreviations for words that they write a lot. The English language occasionally uses the apostrophe mark ' to show that a word i
Angel,Literature,"In many mythologies and religions, an angel is a good spirit. The word angel comes from the Greek word ""angelos"" which means ""messenger"". Angels appear frequently in the Old Testament, the New Testame"
Apple,General Information,"An apple is the edible fruit of a number of trees, known for its juicy, green, or red fruits. The tree (Malus spp.) is grown worldwide. Its fruit is low-cost, popular, and common all over the earth. A"
Algebra,History,"Algebra (from Arabic: الجبر‎, transliterated ""al-jabr"", meaning ""reunion of broken parts"") is a part of mathematics. It uses variables to represent a value that is not yet known or can be replaced wit"
Atom,Science,"An atom is an extremely small piece of matter. All normal matter – everything that has mass – is made of atoms. This includes solids, liquids, and gases. The atom cannot be broken to parts by chemistr"
Astronomy,Science,"Astronomy is the scientific study of celestial bodies. Stars, galaxies, planets, moons, asteroids, comets and nebulae are studied, as are supernovae explosions, gamma ray bursts, and cosmic microwave "
Architecture,Art,"Architecture is the process of designing structures and buildings. It uses both art and engineering. Examples include houses, churches, hotels, office buildings, roads, tunnels and bridges. Architectu"
Anatomy,Science,"Anatomy is the study of the bodies of people and other animals. Anatomy is the study of the inside of the body and outside the body. Anatomy notes the position and structure of organs such as muscles,"
Asteroid,Science,An asteroid is a minor planet that orbits within the inner solar system. It is a small object in the Solar System that travels around the Sun. It is like a planet but smaller. They range from very sma
Afghanistan,History,"Afghanistan, officially the Islamic Emirate of Afghanistan is a country in Asia. It borders Pakistan in the south and east, Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and "
Angola,History,"Angola, officially the Republic of Angola, is a country in southern Africa. It shares borders with Namibia in the south, the Democratic Republic of the Congo in the north, and Zambia in the east. Its "
